Pollen type,Growth form,AM mycorrhiza,EM mycorrhiza,Ericoid mycorrhiza,Clonality,Seed weight (mg),Height (m),LDMC (mg/g),SNPS,SLA (mm2/mg),L,T,K,F,R,N
Potentilla,Herbaceous,1,0.166666667,0,0.6,0.4,0.4,NA,174.8,23.6,6.8,6.0,3.7,6.5,5.0,4.4
Primula farinosa,Herbaceous,1,0,0,0.5,0.1,0.1,172.3,472.0,23.1,8.0,NA,4.0,8.0,9.0,2.0
Prunella,Herbaceous,1,0,0,0.5,0.8,0.2,NA,204.9,21.7,7.0,NA,3.0,5.0,7.0,NA
Prunus,Woody,1,1,0,0.1,65.7,9.0,340.8,8000.0,19.3,5.0,5.0,3.0,8.0,7.0,6.0
Pteridium,Herbaceous,1,0,0,0.5,NA,0.8,NA,NA,NA,6.0,5.0,3.0,5.0,3.0,3.0
Quercus,Woody,0,1,0,0.0,2645.0,40.0,NA,52500.3,14.0,7.0,6.0,6.0,NA,NA,NA
Ranunculaceae,Herbaceous,1,0,0,0.4,1.9,0.4,179.1,109.3,17.2,6.3,6.0,3.5,7.2,5.3,3.7
Rhamnus,Woody,1,0,0,0.0,NA,4.0,NA,4500.0,NA,NA,NA,NA,NA,NA,NA
Ribes,Woody,1,0.3,0,0.0,7.0,1.1,266.3,1112.3,32.4,4.3,5.0,6.0,8.5,6.7,6.0
Rosa,Woody,1,0,0,0.5,12.2,1.0,NA,NA,NA,7.0,6.0,7.0,5.0,8.0,3.0
Rubus,Herbaceous,1,0,0,0.5,3.4,1.0,NA,200.0,NA,6.0,5.0,4.0,NA,8.0,7.0
Rumex,Herbaceous,0.7,0,0,0.3,1.5,0.9,129.1,2809.9,17.7,7.3,5.5,5.0,7.5,7.0,6.3
Salix,Woody,0.7,1,0,0.2,0.1,4.3,NA,8903450.5,NA,7.3,4.5,5.0,7.0,6.7,5.0
Sambucus,Woody,1,1,0,0.0,1293.0,2.0,172.2,21926.0,31.0,6.0,4.0,4.0,5.0,5.0,8.0
Scheuchzeria,Herbaceous,0.0,0,0,0.5,NA,0.2,292.9,0.0,9.8,9.0,5.0,5.0,9.0,3.0,2.0
Scutellaria,Herbaceous,1,0,0,0.5,0.8,0.4,NA,288.0,NA,7.0,6.0,5.0,9.0,7.0,6.0
Selaginella,Herbaceous,1,0,0,0.0,NA,0.0,NA,NA,24.5,8.0,3.0,3.0,7.0,7.0,3.0
Senecio,Herbaceous,1,0,0,0.5,0.4,0.3,NA,3204.5,19.6,6.5,NA,3.0,5.5,8.0,4.0
Solanum dulcamara,Herbaceous,1,0,0,0.5,1.6,1.8,57.7,53459.0,NA,7.0,5.0,NA,8.0,NA,8.0
Solanum nigrum,Herbaceous,1,0,0,0.5,0.7,0.6,125.9,3900.0,24.6,7.0,6.0,3.0,5.0,7.0,8.0
Sorbus,Woody,1,0.3,0,0.1,16.0,10.3,235.7,24750.0,19.4,6.0,5.5,3.5,5.0,6.0,NA
Spergularia,Herbaceous,1,0,0,0.0,0.1,0.2,108.7,1974.0,29.4,7.0,6.0,NA,7.0,7.0,5.0
Succisa,Herbaceous,1,0,0,0.1,1.6,0.5,NA,550.5,15.6,7.0,5.0,3.0,7.0,NA,2.0
Taraxacum officinale,Herbaceous,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thelypteris,Herbaceous,1,0,0,0.5,NA,0.4,143.7,NA,31.2,5.0,6.0,NA,8.0,5.0,6.0
Tilia,Woody,1,1,0,0.1,40.0,18.0,NA,NA,NA,5.0,5.0,4.0,5.0,NA,5.0
Tofieldia,Herbaceous,1,0,0,0.5,0.1,0.3,231.8,NA,17.5,8.0,NA,4.0,8.0,8.0,2.0
Trifolium,Herbaceous,1,0,0,0.3,1.2,0.3,207.8,916.1,26.4,7.2,5.7,3.7,4.3,6.0,3.7
Trollius,Herbaceous,1,0,0,0.5,1.0,0.4,NA,173.0,NA,9.0,3.0,5.0,7.0,6.0,5.0
Typha sparganium,Herbaceous,1,0,0,0.5,0.3,1.3,NA,207500.3,NA,8.0,6.0,5.0,10.0,7.0,8.0
Ulmus,Woody,1,0,0,0.0,13.2,35.0,234.4,NA,35.2,4.0,5.0,3.0,6.0,7.0,7.0
Urtica,Herbaceous,1,0,0,0.5,0.1,0.7,NA,806.2,31.6,NA,NA,NA,6.0,7.0,8.0
Vaccinium,Herbaceous,0.0,0,1,0.8,0.2,0.3,418.6,139.3,14.9,5.5,NA,5.0,NA,1.5,3.0
Valeriana officinalis,Herbaceous,1,0,0,0.5,1.0,0.5,NA,398.0,22.2,7.0,6.0,5.0,8.0,7.0,5.0
Veronica,Herbaceous,0.8,0,0,0.5,0.2,0.2,215.9,276.4,27.0,6.8,5.0,3.0,7.0,4.3,4.3
Viburnum,Woody,1,0,0,0.0,36.6,3.0,NA,3640.0,17.9,6.0,5.0,3.0,NA,7.0,6.0
Vicia,Herbaceous,1,0.1,0,0.2,17.3,0.5,244.7,98.3,28.4,6.5,5.7,4.3,5.1,6.9,4.0
Viola,Herbaceous,1,0,0,0.4,1.2,0.1,164.9,848.0,35.4,5.3,5.0,4.7,4.0,6.7,2.0
