tank,color,label,ID,treatment,hatching,hatching_date,days_until_hatching_trt,sampling_date,days_until_sampling,floating,feeding,weight,area,density
S2,G,G1,S2G1,A,1,19.10.2019,10,08.11.2019,20,0,1,1.6,14.054,0.114
S1,G,G2,S1G2,C,1,23.10.2019,14,08.11.2019,16,0,1,1.27,14.006,0.091
S5,G,G1,S5G1,C,1,24.10.2019,15,07.11.2019,14,0,1,1.35,14.269,0.095
S1,G,G3,S1G3,C,1,30.10.2019,21,15.11.2019,16,0,1,1.63,14.572,0.112
S2,G,G4,S2G4,A,1,01.11.2019,23,19.11.2019,18,1,1,0.8,9.887,0.081
S6,G,G1,S6G1,C,1,01.11.2019,23,15.11.2019,14,0,1,1.14,13.168,0.087
S10,G,G1,S10G1,A,1,02.11.2019,24,20.11.2019,18,1,1,0.72,9.874,0.073
S3,G,G2,S3G2,C,1,02.11.2019,24,18.11.2019,16,0,1,1.03,12.388,0.083
S3,G,G4,S3G4,C,1,02.11.2019,24,14.11.2019,12,0,1,1.16,10.998,0.105
S6,G,G4,S6G4,C,1,02.11.2019,24,18.11.2019,16,0,1,1.14,11.939,0.095
S2,G,G2,S2G2,A,1,03.11.2019,25,20.11.2019,17,0,1,1.21,12.038,0.101
S8,G,G4,S8G4,A,1,04.11.2019,26,18.11.2019,14,0,1,1.14,13.993,0.081
S9,G,G1,S9G1,C,1,04.11.2019,26,15.11.2019,11,0,1,1.57,14.629,0.107
S10,G,G4,S10G4,A,1,05.11.2019,27,25.11.2019,20,0,1,1.16,12.477,0.093
S3,G,G5,S3G5,C,1,05.11.2019,27,27.11.2019,22,1,1,0.96,11.973,0.08
S6,G,G3,S6G3,C,1,05.11.2019,27,19.11.2019,14,1,1,1.2,13.506,0.089
S8,G,G5,S8G5,A,1,05.11.2019,27,23.11.2019,18,0,1,1.39,14.883,0.093
S9,G,G5,S9G5,C,1,05.11.2019,27,23.11.2019,18,1,1,0.91,12.285,0.074
S10,G,G2,S10G2,A,1,06.11.2019,28,23.11.2019,17,1,1,1.38,15.718,0.088
S3,G,G3,S3G3,C,1,06.11.2019,28,25.11.2019,19,0,1,1.18,13.572,0.087
S5,G,G5,S5G5,C,1,06.11.2019,28,24.11.2019,18,0,1,1.33,16.09,0.083
S8,G,G6,S8G6,A,1,06.11.2019,28,24.11.2019,18,0,1,1.26,14.811,0.085
S9,G,G4,S9G4,C,1,06.11.2019,28,20.11.2019,14,0,1,1.42,15.212,0.093
S3,G,G1,S3G1,C,1,07.11.2019,29,18.11.2019,11,0,1,1.08,14.622,0.074
